Description,Quantity,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Quantity_Group
9,38,1.71,0,0.47,0,10.79,1,0,0,3,2,2,High
9,18,41.25,8,0.19,2,9.51,2,1,0,3,4,2,Medium
3,49,29.11,3,0.35,0,23.03,2,1,1,3,1,0,High
2,14,76.68,5,0.14,2,11.08,0,1,0,2,4,1,Low
5,47,70.16,9,0.48,1,13.98,2,1,0,0,2,2,High
7,25,85.74,1,0.15,0,12.92,4,1,0,1,0,0,Medium
4,8,95.65,6,0.04,0,6.48,2,0,0,2,0,1,Low
10,19,98.19,1,0.05,2,12.56,1,1,0,3,1,0,Medium
3,40,98.17,4,0.16,0,7.71,1,1,0,2,2,1,High
4,49,87.56,10,0.19,2,9.83,4,0,1,3,3,2,High
5,41,59.51,0,0.39,0,12.0,3,0,0,1,0,1,High
1,41,25.59,0,0.01,1,15.58,2,0,0,1,1,2,High
3,3,2.09,8,0.47,1,19.22,4,1,0,2,3,1,Low
8,29,35.88,7,0.06,1,14.85,2,1,0,2,0,0,Medium
6,16,82.58,1,0.41,0,27.02,3,0,0,3,0,0,Medium
5,7,70.85,3,0.0,0,23.66,1,0,0,1,3,0,Low
3,49,14.91,5,0.36,0,5.32,4,1,0,2,3,2,High
0,21,1.07,9,0.49,0,15.09,0,1,0,1,2,2,Medium
7,46,27.03,8,0.26,1,23.8,3,0,1,3,2,2,High
8,43,77.17,6,0.3,0,24.77,0,0,1,1,1,1,High
4,14,66.89,6,0.42,2,15.05,3,1,0,1,1,0,Low
10,39,66.18,9,0.07,0,27.02,0,1,0,2,3,0,High
6,24,70.01,6,0.12,1,13.16,4,1,0,2,3,1,Medium
6,48,27.87,2,0.24,0,19.61,2,1,0,3,1,1,High
1,30,59.53,3,0.25,2,23.67,4,1,0,0,4,1,Medium
7,33,97.96,4,0.23,0,7.25,4,1,0,2,3,0,Medium
8,22,28.73,5,0.25,1,8.44,1,1,0,1,4,2,Medium
5,10,86.71,0,0.36,1,16.86,3,1,0,0,0,1,Low
7,11,90.69,11,0.39,1,25.31,3,1,0,0,0,2,Low
9,15,40.36,7,0.03,1,6.14,4,0,0,2,4,0,Low
9,48,8.39,5,0.08,0,15.29,2,0,0,2,0,2,High
3,30,99.31,10,0.31,1,22.31,0,1,0,2,1,2,Medium
8,14,10.32,2,0.01,1,28.9,4,0,1,0,4,1,Low
3,32,82.94,5,0.15,1,28.6,2,1,0,3,0,0,Medium
6,26,35.39,0,0.02,0,21.07,4,0,0,0,4,2,Medium
0,21,61.34,1,0.24,0,9.39,3,0,0,0,2,1,Medium
2,5,30.77,8,0.31,2,15.27,4,0,0,0,0,1,Low
10,47,38.11,2,0.27,2,25.15,4,0,0,3,3,2,High
6,12,29.06,7,0.15,2,12.84,4,1,0,3,2,1,Low
4,29,21.32,8,0.16,1,10.88,3,0,0,3,3,1,Medium
1,21,36.85,0,0.15,2,28.34,2,0,0,3,1,1,Medium
0,25,86.68,0,0.02,0,23.35,0,0,0,2,1,2,Medium
7,16,9.08,2,0.04,0,18.69,1,0,0,2,4,1,Medium
2,31,2.1,6,0.29,0,16.04,3,1,0,3,0,1,Medium
8,20,24.36,6,0.07,0,18.99,1,0,0,1,2,0,Medium
10,31,84.83,5,0.12,0,23.25,4,0,0,3,3,0,Medium
10,11,93.1,0,0.38,2,8.78,2,1,0,0,3,1,Low
6,32,81.47,4,0.0,0,9.14,2,1,0,0,3,0,Medium
5,48,4.74,1,0.22,1,23.11,0,1,0,3,2,0,High
3,8,20.35,1,0.1,1,20.37,4,0,0,3,4,1,Low
8,23,33.63,2,0.33,0,6.6,1,1,0,0,4,2,Medium
0,8,68.66,5,0.13,1,26.31,4,0,0,2,2,1,Low
3,2,33.4,9,0.16,0,18.88,1,1,0,2,1,1,Low
6,27,49.95,4,0.3,2,10.36,4,0,0,0,2,2,Medium
5,36,5.04,10,0.15,0,27.63,1,0,1,1,3,1,High
1,35,4.66,0,0.27,2,19.65,3,0,0,3,2,1,Medium
2,23,73.48,4,0.37,0,29.57,4,1,0,0,0,0,Medium
1,41,11.4,3,0.08,0,12.87,0,1,0,3,1,0,High
0,48,28.29,1,0.33,0,16.89,1,1,0,0,4,0,High
5,13,1.47,8,0.32,2,8.53,4,1,0,3,2,1,Low
4,31,55.33,4,0.05,1,25.13,3,1,0,2,3,1,Medium
5,30,45.18,5,0.32,1,13.75,3,1,0,3,0,2,Medium
10,6,78.9,4,0.1,0,12.89,0,1,0,0,1,0,Low
4,20,39.0,4,0.09,2,21.67,2,1,0,2,1,2,Medium
10,26,25.56,11,0.48,0,10.4,2,0,0,3,2,0,Medium
5,36,34.13,4,0.32,0,20.69,1,1,0,1,3,2,High
7,19,69.38,6,0.33,2,27.74,3,1,0,3,0,2,Medium
7,22,94.81,3,0.43,0,25.61,0,0,0,3,2,2,Medium
8,12,70.77,3,0.33,0,17.0,2,0,0,1,4,0,Low
3,3,99.17,11,0.03,2,11.58,4,1,0,0,2,2,Low
6,5,61.05,8,0.45,0,8.03,2,1,0,2,4,1,Low
6,5,94.77,7,0.13,0,19.81,2,1,0,2,4,1,Low
9,43,15.02,0,0.02,1,18.34,3,1,0,3,1,0,High
4,23,24.56,9,0.32,2,14.23,4,1,0,2,2,1,Medium
5,14,66.41,10,0.22,2,22.68,3,1,0,2,0,0,Low
9,49,49.41,10,0.38,0,8.8,4,0,0,2,2,1,High
1,39,36.99,1,0.38,2,20.06,0,0,0,0,4,2,High
1,7,36.14,11,0.34,0,6.87,3,0,0,3,0,2,Low
0,35,30.82,4,0.03,1,8.87,3,1,1,1,3,1,Medium
10,38,81.28,9,0.18,2,27.77,3,0,0,0,0,0,High
3,14,36.13,4,0.34,1,14.95,1,0,1,0,1,1,Low
7,17,8.62,1,0.13,2,19.11,4,1,0,1,0,1,Medium
6,7,15.96,10,0.28,2,23.88,2,1,0,0,3,0,Low
7,20,49.92,3,0.4,0,8.34,2,1,0,2,4,1,Medium
6,34,13.63,6,0.08,0,24.2,4,1,0,0,1,1,Medium
6,30,83.42,10,0.45,0,5.92,2,1,0,3,3,1,Medium
10,40,91.57,6,0.35,2,29.97,0,0,0,1,2,0,High
6,13,7.54,1,0.38,1,26.46,4,0,0,2,4,1,Low
9,6,87.27,1,0.08,2,22.59,2,1,0,0,3,1,Low
9,27,68.95,11,0.45,0,18.1,4,1,0,3,0,2,Medium
0,18,33.22,2,0.22,0,24.77,4,1,0,2,4,2,Medium
1,24,25.98,4,0.13,0,16.68,3,1,0,1,0,2,Medium
5,32,41.15,10,0.4,1,7.7,0,1,0,0,1,0,Medium
8,39,60.36,9,0.07,0,24.41,1,0,0,3,4,0,High
0,26,24.81,3,0.4,1,26.82,1,0,1,2,4,2,Medium
9,34,88.14,5,0.07,0,12.45,3,1,0,3,2,0,Medium
8,21,3.75,7,0.02,0,16.33,2,0,0,0,1,1,Medium
7,28,7.96,7,0.35,0,6.64,3,1,0,1,2,1,Medium
0,5,48.24,1,0.18,2,6.68,4,1,0,0,0,2,Low
5,42,34.93,2,0.41,2,17.4,0,1,0,2,2,0,High
6,18,31.83,2,0.42,1,27.47,1,1,1,1,3,0,Medium
6,43,57.77,11,0.1,1,11.1,3,1,0,1,0,1,High
4,48,15.68,7,0.23,1,8.83,1,0,0,0,2,0,High
7,34,85.06,10,0.01,0,29.98,0,0,0,0,0,2,Medium
9,22,35.03,2,0.24,0,8.25,3,1,0,0,0,1,Medium
1,23,49.73,4,0.31,1,26.62,2,1,0,2,4,0,Medium
3,9,57.1,9,0.01,0,11.88,0,1,0,2,0,1,Low
10,27,65.17,6,0.12,2,28.59,1,0,1,3,4,0,Medium
0,14,12.16,6,0.2,0,12.57,1,0,0,1,0,2,Low
7,20,84.61,6,0.26,0,11.7,4,0,0,1,3,0,Medium
4,26,7.36,3,0.05,2,29.14,1,0,0,3,2,1,Medium
10,41,22.68,5,0.15,0,20.14,4,1,0,1,1,2,High
10,7,10.74,10,0.44,0,17.3,0,0,0,0,4,1,Low
1,24,76.55,11,0.0,2,8.27,0,1,0,3,2,2,Medium
9,9,71.63,1,0.47,0,19.95,1,0,0,3,2,0,Low
1,43,30.59,1,0.2,2,10.32,4,1,1,3,2,0,High
5,7,78.42,6,0.05,0,26.71,4,1,0,0,4,1,Low
10,37,91.0,4,0.42,2,11.14,1,0,0,2,3,0,High
4,4,19.27,2,0.07,1,25.98,0,1,0,0,0,1,Low
8,11,37.38,9,0.02,1,8.95,2,0,0,1,0,1,Low
3,4,53.39,5,0.5,0,8.56,3,1,0,1,1,2,Low
9,28,31.18,8,0.38,0,6.1,4,0,0,2,1,0,Medium
0,49,66.8,5,0.36,0,11.84,4,1,0,1,4,0,High
8,27,83.54,5,0.33,1,9.51,4,0,0,0,2,2,Medium
3,17,73.34,6,0.23,2,9.78,3,0,0,2,2,2,Medium
4,40,94.43,11,0.29,2,10.59,1,0,0,2,4,1,High
6,6,39.39,10,0.29,0,9.85,2,0,0,0,4,2,Low
7,17,19.05,2,0.02,0,11.25,0,0,0,2,4,1,Medium
3,43,87.12,3,0.45,0,18.17,2,0,0,3,2,1,High
6,12,98.82,3,0.25,2,5.34,1,0,0,1,4,0,Low
2,40,45.27,2,0.08,2,21.25,1,0,0,3,1,1,High
9,1,19.89,0,0.28,0,13.87,4,1,0,1,3,0,Low
2,29,29.51,0,0.43,2,19.15,0,0,0,3,1,2,Medium
8,26,44.69,2,0.46,0,21.57,2,0,0,2,2,1,Medium
8,8,14.92,2,0.16,0,14.11,0,1,0,0,4,2,Low
6,30,39.72,7,0.08,2,14.4,4,1,0,1,3,0,Medium
4,30,69.96,2,0.27,2,18.7,4,1,0,0,0,0,Medium
5,4,52.48,8,0.37,2,29.12,1,0,0,0,2,0,Low
9,24,78.64,0,0.06,2,8.97,4,0,0,3,4,0,Medium
8,26,11.49,2,0.21,1,18.94,1,1,0,0,3,2,Medium
